	coding_genes	ncrna_genes	pseudo_genes	coding_gene_avg_length	ncrna_gene_avg_length	pseudo_gene_avg_length	coding_trans_avg_length	ncrna_trans_avg_length	pseudo_trans_avg_length	genome_length
Anole_lizard	18595	7168	157	35332.78	10318.72	878.24	2572.26	548.16	868.57	1799143587
C_elegans	20362	922	1658	3088.45	334.04	1389.75	1399.78	255.94	855.84	100286401
Cat	19493	1855	542	36566.75	103.16	792.3	2169.5	103.16	743.36	2455541136
Chicken	18346	6490	43	24355.34	12638.01	1012.88	2073.08	859.23	993.67	1230258557
Chimpanzee	18759	8681	572	53191.61	125.81	901.91	2541.03	125.81	883.45	3309577922
Cow	19994	3825	797	39145.97	111.6	859.42	2046.76	111.6	815.04	2670422299
Dog	19856	11898	950	43751.15	14038.34	857.38	2567.69	611.71	815.83	2410976875
Dolphin	16550	3790	925	45230.16	109.83	1088.38	1720.73	109.83	824.89	2521923936
Duck	15634	567	249	22641.1	106.44	394.53	1702.94	106.44	387.7	1105035747
Elephant	20033	2644	568	38076.42	107.48	869.03	1537.68	107.48	843.48	3196760833
Fruitfly	13918	2832	257	6900.9	1650.93	1054.58	2350.62	820.22	806.63	143725995
Fugu	18523	703	162	7910.66	106.32	1173.02	1713.82	106.32	1109.69	393312790
Gorilla	20962	6701	1553	45535.34	113.49	704.38	2273.94	113.49	666.91	3040677044
Horse	20449	2142	4400	36475.31	115.2	1007.63	1700.16	115.2	1004.64	2474929062
Human	22097	15502	16146	62651.06	14626.52	3763.29	3506.79	647.39	814.55	3096649726
Microbat	19728	4408	1713	25651.18	122.93	833.32	1559.97	122.93	810.81	2034575300
Mouse	22176	10467	10635	47825.89	7925.39	2255.07	3121.46	637.4	744.69	2730871774
Panda	19343	3141	778	36009.55	126.78	646.03	1597.16	126.78	626.14	2299509015
Pig	21605	3024	568	31956.24	349.82	1343.75	2065.2	123.22	792.32	2808525991
Platypus	21698	7531	547	22117.59	5119.73	721.73	1651.56	380.47	718.16	2073148626
Rat	22258	8715	1582	37854.17	4183.34	1446.51	2264.79	358.45	928.69	2870184193
#S_cerevisiae	6692	99	21	1369.19	463.08	1255.67	1352.47	436.66	1255.57	12157105
Stickleback	20787	1617	52	9250.29	120.66	1038.38	1728.33	120.66	1034.13	461533448
Tasmanian_devil	18788	1490	178	36980.19	119.02	73189.7	2062.99	119.02	2223.13	3174709637
Xenopus	18442	1306	173	22927.14	125.49	936.5	1957.54	125.49	923.82	1511735326
Zebrafish	25658	4182	368	31539.44	3518.02	5966.81	2551.89	316.81	1285.9	1371719383
